ModuleName,ARITLSHIFT,ARITLSHIFT_PORT_NUM,ARITLSHIFT_PORT_WIDTH,ARITLSHIFT_VALUE,ARITRSHIFT,ARITRSHIFT_PORT_NUM,ARITRSHIFT_PORT_WIDTH,ARITRSHIFT_VALUE,AlwaysConstructs,AssignLHSPortNum,AssignLHSWidth,AssignRHSPortNum,AssignRHSWidth,AssignStmts,BLOCKINGASSIGN,BlockAssign_Left_PortNum,BlockAssign_Left_Width,BlockAssign_Right_PortNum,BlockAssign_Right_Width,CASECONDITIONNUM,CASECONDITIONWIDTH,CASEITEMCONDITIONNUM,CASEITEMCONDITIOWIDTH,CASEITEMNUM,CONDITIONALELSE,CONDITIONALIF,CONDITIONALIFWIDTH,CONDITIONALTHEN,FORBLOCK,FORTIMES,FUNCTIONCALL,FUNCTIONNUM,INDEXMEMRORY,INOUT,INOUTWIDTH,INPUT,INPUTWIDTH,MIN,ModuleInsts,NonBlockLeftWidth,NonBlockRightWidth,NonBlockingAssign,NonBlockingLeftPortNum,NonBlockingRightPortNum,OUTPUT,OUTPUTWIDTH,PARAMETERNUM,PARAMETERVALUE,PLUS,QUESTIONCOLON,QUESTIONCOLONELSE,QUESTIONCOLONIF,QUESTIONCOLONTHEN,REDAND,REDAOR,REDXOR,REG,REGWIDTH,UnaryOperator,WIRENUM,WIREWIDTH,LUT,FF,IO,BUFG,BRAM,LUTRAM,DSP
a429_rx_iface,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,7,9,25,9,0,0,0,0,0,0,0,7,8,3,0,244,126,30,30,36,2,33,0,0,0,0,0,0,0,7,0,1,6,50,0,5,29,42,93,39,1,0,0,0
a429_tx_iface,0,0,0,0,0,0,0,0,3,3,3,4,5,3,0,0,0,0,0,1,2,3,3,4,9,10,16,10,0,0,0,0,0,0,0,8,46,3,0,228,69,25,25,10,3,3,0,0,1,3,3,3,3,5,0,0,6,55,0,5,50,74,56,47,2,0,0,0
account,0,0,0,0,0,0,0,0,3,3,21,5,20,3,0,0,0,0,0,2,3,0,0,2,15,18,8,18,0,0,0,0,0,0,0,4,5,6,0,118,0,50,52,58,6,24,0,0,10,2,2,2,2,13,0,0,10,28,0,0,0,100,88,29,1,0,0,0
add8,0,0,0,0,0,0,0,0,0,2,9,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,2,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,26,0,0,0,0
adder4,0,0,0,0,0,0,0,0,0,2,5,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,0,0
adder8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,5,26,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,2,9,0,0,2,0,0,0,0,0,0,0,5,26,0,0,0,8,26,27,1,0,0,0
add_ahead,0,0,0,0,0,0,0,0,0,33,33,2,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,158,2,9,0,0,0,0,0,0,0,16,16,16,0,0,0,4,32,10,0,26,0,0,0,0
add_bx,0,0,0,0,0,0,0,0,0,2,9,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,2,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,26,0,0,0,0
add_tree,0,0,0,0,7,0,0,28,1,7,90,14,166,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,3,17,0,0,92,0,8,8,0,1,16,0,0,7,0,0,0,0,0,0,0,8,92,0,7,90,50,64,33,1,0,0,0
ahb,0,0,0,0,0,0,0,0,2,43,43,24,210,43,18,18,210,15,175,5,5,0,0,6,1,1,1,1,0,0,0,0,0,0,0,22,220,0,0,10,5,10,10,33,32,336,0,0,0,0,0,0,0,45,0,0,8,40,0,65,575,88,4,556,1,0,0,0
ahb_fifo_counter,0,0,0,0,0,0,0,0,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,4,35,1,0,130,33,6,6,5,1,1,0,0,0,0,0,0,0,2,0,0,2,33,0,6,37,91,33,36,1,0,0,0
ahb_fifo_entry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,4,58,0,0,165,110,3,3,2,1,55,0,0,0,0,0,0,0,0,0,0,1,55,0,4,58,47,45,113,1,0,0,0
ahb_master,0,0,0,0,0,0,0,0,6,11,140,17,71,6,1,2,0,0,0,0,0,0,0,0,11,14,9,14,0,0,8,8,0,0,0,15,142,0,0,360,253,49,107,69,11,140,2,64,0,3,3,3,3,19,1,0,18,443,0,22,112,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ahb_master,0,0,0,0,0,0,0,0,6,11,140,17,71,6,1,2,0,0,0,0,0,0,0,0,11,14,9,14,0,0,8,8,0,0,0,15,142,0,0,360,253,49,107,69,11,140,2,64,0,3,3,3,3,19,1,0,18,443,0,22,112,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
alu_control,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,12,48,2,4,2,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,10,0,0,0,0
alu_dut,0,0,0,0,0,0,0,0,1,4,19,2,34,4,10,10,138,0,0,1,2,0,0,4,4,4,0,4,0,0,0,0,0,0,0,3,34,13,0,0,0,0,0,12,4,19,1,16,1,0,0,0,0,21,1,0,2,34,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AOI,0,0,0,0,0,0,0,0,0,1,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,5,5,1,0,5,0,0,0,0
apb_bridge,0,0,0,0,0,0,0,0,9,21,21,46,542,21,19,19,318,18,266,9,11,5,5,14,22,22,11,22,0,0,0,0,0,0,0,14,324,0,0,346,233,32,32,27,15,109,5,0,0,0,0,0,0,55,0,0,11,139,0,35,346,170,104,433,1,0,0,0
bus_arb,0,0,0,0,0,0,0,0,1,1,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,16,4,1,1,1,1,16,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
audio_receive,0,0,0,0,0,0,0,0,4,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,6,8,4,8,0,0,0,0,0,0,0,4,4,2,0,119,34,12,12,3,2,33,1,0,1,0,0,0,0,4,0,1,3,39,0,1,1,41,72,37,1,0,0,0
beep_control,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,4,4,0,0,2,1,2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,5,1,0,0,0
Beep_Module,0,0,0,0,0,0,0,0,6,1,1,1,1,1,15,15,210,3,18,1,8,0,0,11,5,5,3,5,0,0,0,0,0,0,0,3,10,0,0,66,33,6,6,3,1,1,0,0,1,0,0,0,0,2,0,0,6,66,0,0,0,32,33,11,1,0,0,0
bidir,0,0,0,0,0,0,0,0,0,2,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
bidir2,0,0,0,0,0,0,0,0,1,1,8,1,8,1,2,2,16,1,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,8,0,0,0,9,8,10,1,0,0,0
bin2bcd,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,12,0,0,0,0
bit_slice,0,0,0,0,0,0,0,0,5,0,0,0,0,0,33,34,112,41,101,3,9,0,0,13,0,0,0,0,1,-1,0,0,0,0,4,11,24,3,0,0,0,0,0,9,7,10,1,4,2,14,14,14,14,4,2,4,26,133,0,4,4,48,4,38,1,0,0,0
block1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,6,1,0,0,0
block2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
block3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,6,1,0,0,0
block4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,6,1,0,0,0
bot,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0
buried_ff,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
cla_full_adder,0,0,0,0,0,0,0,0,0,3,3,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,6,0,0,0,0
clk_aligner,0,0,0,0,0,0,0,0,9,4,4,5,5,4,57,57,128,56,54,4,10,8,8,30,8,12,32,12,0,0,0,0,0,0,0,25,38,0,2,18,10,8,8,9,6,37,4,0,0,0,0,0,0,8,0,0,12,49,0,31,46,22,11,75,1,0,0,0
clk_div16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,2,2,0,0,12,2,6,6,5,1,1,0,0,1,0,0,0,0,1,0,0,2,4,0,0,0,3,4,3,1,0,0,0
clk_div3,0,0,0,0,0,0,0,0,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,4,4,2,4,0,0,0,0,0,0,0,2,2,0,0,18,4,12,12,10,1,1,0,0,2,0,0,0,0,2,1,0,4,6,0,0,0,6,6,3,1,0,0,0
clk_divider,0,0,0,0,0,0,0,0,19,22,22,26,26,22,35,35,44,18,18,5,7,12,12,14,20,27,29,27,0,0,0,0,0,0,0,2,2,0,0,46,14,30,30,17,16,16,13,0,2,0,0,0,0,10,0,3,22,30,4,24,24,15,22,18,1,0,0,0
clk_syn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,3,0,0,4,2,4,4,5,1,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
clk_test,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,2,1,0,32,1,5,5,3,1,1,1,0,1,0,0,0,0,2,0,0,1,10,0,0,0,12,11,3,1,0,0,0
clock,0,0,0,0,0,0,0,0,17,8,8,19,21,8,0,0,0,0,0,2,4,2,0,6,26,27,8,27,0,0,0,0,0,0,0,5,5,0,0,258,64,79,90,80,7,28,0,0,16,1,1,1,1,40,8,1,32,99,0,6,6,95,92,33,3,0,0,0
cmp,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,4,66,0,0,5,0,5,5,5,1,1,1,32,0,0,0,0,0,1,0,0,2,2,0,0,0,13,2,67,1,0,0,0
code_83,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
compile,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
control,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,25,0,31,38,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,0,0,0,0
convround,0,0,0,0,0,0,0,0,1,5,25,1,8,5,0,0,0,0,0,0,0,0,0,0,3,4,10,4,0,0,0,0,0,0,0,3,18,0,0,32,32,4,4,4,1,8,3,24,1,0,0,0,0,0,0,0,0,0,0,5,25,8,16,4,0,0,0,0
count,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,24,1,8,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,9,8,19,1,0,0,0
count10,0,0,0,0,0,0,0,0,1,1,1,2,0,1,3,3,12,2,0,0,0,0,0,0,2,3,2,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,5,0,0,1,1,1,1,1,1,0,0,1,4,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
count4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,2,0,0,8,0,2,2,1,1,4,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,2,4,6,1,0,0,0
count4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,2,0,0,8,0,2,2,1,1,4,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,2,4,6,1,0,0,0
count60,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4,5,3,5,0,0,0,0,0,0,0,5,12,0,0,32,8,6,6,8,2,9,0,0,2,1,1,1,1,2,0,0,1,8,0,0,0,11,8,21,1,0,0,0
counter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,2,4,6,1,0,0,0
count_12_02,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,5,0,0,0,0,0,0,0,2,2,1,0,148,0,15,15,0,4,28,1,0,2,0,0,0,0,2,0,0,2,24,0,0,0,57,45,30,1,0,0,0
count,0,0,0,0,0,0,0,0,1,1,1,2,0,1,3,3,12,1,4,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,2,5,0,0,1,1,1,1,1,0,0,0,1,4,0,0,0,9,8,19,1,0,0,0
cpu_mod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0,0,0,0,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
crc,0,0,0,0,0,0,0,0,1,16,16,0,0,16,0,0,0,0,0,0,0,0,0,0,3,4,2,4,0,0,0,0,0,0,0,6,13,0,0,96,24,8,8,179,2,24,0,0,0,0,0,0,0,2,0,56,2,24,0,1,16,25,24,37,1,0,0,0
cycle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,2,7,12,1,0,0,0
cymometer,0,0,0,0,0,0,0,0,8,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,14,17,12,17,0,0,0,0,0,0,0,3,3,0,0,425,70,32,32,10,1,20,1,0,6,0,0,0,0,7,0,0,12,151,0,2,2,948,147,23,2,0,0,1
decode47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,77,77,0,0,4,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,4,0,11,0,0,0,0
decode4_7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,11,77,0,0,1,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,4,0,11,0,0,0,0
decoder1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,66,1,7,0,0,0,0,0,0,0,14,0,10,3,17,0,0,0,10,7,15,1,0,0,0
decoder2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,6,18,6,14,0,0,0,0,0,0,0,0,0,2,-12,0,0,0,0,0,2,8,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,9,27,0,0,0,20,14,15,1,0,0,0
decoder3to8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,72,0,0,1,3,0,0,8,1,1,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,4,0,12,0,0,0,0
decoder_38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,64,0,0,1,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,4,0,11,0,0,0,0
dly_2cycle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,64,64,2,2,2,1,32,1,32,0,0,0,0,0,0,0,0,2,64,0,0,0,0,0,0,0,0,0,0
DFF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,0,0,0
DFF1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,4,4,0,0,6,2,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,6,6,1,0,0,0
DFF2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,4,4,0,0,6,2,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,6,1,0,0,0
dff_3_pipe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,5,26,0,0,48,24,6,6,3,3,24,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,50,1,0,0,0
dht11_drive,0,0,0,0,0,0,0,0,5,3,3,3,3,3,0,0,0,0,0,2,4,9,7,10,15,19,11,19,0,0,0,0,0,0,1,3,2,0,0,349,126,53,53,24,1,32,8,1000000,6,0,0,0,0,10,0,0,12,84,0,2,2,102,116,35,2,0,0,0
dht11_key,0,0,0,0,0,0,0,0,2,3,39,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,9,5,0,0,0,0,0,0,0,5,36,0,0,54,32,12,12,6,4,40,0,0,1,0,0,0,0,2,0,0,3,17,0,0,0,34,18,76,1,0,0,0
dly_24cycle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,2,33,0,0,32,32,2,3,3,1,32,1,32,0,0,0,0,0,0,0,0,3,769,0,0,0,0,768,65,1,0,0,0
dm,0,0,0,0,0,0,0,0,1,1,32,2,71,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,5,42,0,0,7,32,1,2,1,1,32,0,0,0,1,1,1,1,0,0,0,1,4096,0,0,0,80,64,73,1,0,0,0
dmx_dpram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,7,37,0,0,34,34,4,6,6,2,16,2,17,0,0,0,0,0,0,0,0,1,4096,0,0,0,7462,4112,53,1,0,0,0
dmx_dpram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,0,0,0,0,0,0,0,2,16,2,17,0,0,0,0,0,0,0,0,1,1052672,0,0,0,7462,4112,53,1,0,0,0
